Flower.ID.Match.Bacteria,Month,Treatment
465,June,Bagged
468,June,Bagged
469,June,Bagged
470,June,Caged
473,June,Bagged
475,June,Caged
476,June,Caged
477,June,Exposed
478,June,Caged
48,May,Bagged
481,June,Bagged
482,June,Caged
483,June,Caged
486,June,Caged
491,June,Exposed
492,June,Exposed
493,June,Bagged
494,June,Bagged
495,June,Exposed
496,June,Caged
497,June,Caged
5,May,Bagged
53,May,Bagged
54,May,Bagged
59,May,Bagged
59C2,June,Caged
59E,June,Exposed
6.60E+03,June,Exposed
60,May,Bagged
600,June,Bagged
601,June,Bagged
602,June,Bagged
603,June,Bagged
604,June,Bagged
605,June,Bagged
606,June,Bagged
607,June,Bagged
608,June,Bagged
609,June,Bagged
61,May,Exposed
610,June,Bagged
611,June,Bagged
612,June,Bagged
613,June,Bagged
614,June,Bagged
615,June,Bagged
616,June,Caged
617,June,Exposed
618,June,Caged
619,June,Bagged
61C ,June,Caged
62,May,Bagged
620,June,Caged
621,June,Exposed
622,June,Exposed
623,June,Bagged
624,June,Exposed
625,June,Bagged
626,June,Exposed
627,June,Bagged
628,June,Caged
629,June,Exposed
630,June,Caged
631,June,Exposed
632,June,Bagged
633,June,Exposed
634,June,Bagged
635,June,Exposed
636,June,Bagged
637,June,Exposed
638,June,Caged
639,June,Bagged
640,June,Caged
641,June,Bagged
642,June,Exposed
643,June,Caged
644,June,Exposed
645,June,Bagged
647,June,Caged
648,June,Caged
649,June,Exposed
650,June,Bagged
651,June,Exposed
652,June,Bagged
653,June,Exposed
654,June,Bagged
655,June,Exposed
656,June,Bagged
657,June,Caged
658,June,Bagged
659,June,Exposed
65E,June,Exposed
66,May,Exposed
6600,June,Exposed
661,June,Bagged
662,June,Caged
663,June,Exposed
664,June,Bagged
665,June,Exposed
666a,June,Bagged
667,June,Exposed
668,June,Bagged
669,June,Caged
670,June,Exposed
671,June,Bagged
672,June,Caged
673,June,Bagged
674,June,Exposed
675,June,Exposed
676,June,Exposed
677,June,Caged
678,June,Caged
679,June,Bagged
68,May,Caged
680,June,Exposed
681,June,Exposed
682,June,Exposed
683,June,Exposed
684,June,Exposed
685,June,Caged
685B,June,Caged
686,June,Exposed
687,June,Exposed
688,June,Caged
689,June,Caged
690,June,Exposed
691,June,Exposed
692,June,Exposed
693,June,Caged
694,June,Exposed
695,June,Exposed
696,June,Exposed
697,June,Exposed
698,June,Exposed
699,June,Caged
6E,June,Exposed
7,May,Bagged
70,May,Bagged
700,June,Caged
701,June,Exposed
702,June,Exposed
703,June,Caged
704,June,Caged
705,June,Caged
706,June,Exposed
707,June,Exposed
708,June,Exposed
709,June,Exposed
71,May,Bagged
710,June,Exposed
72,May,Exposed
80,May,Exposed
800,LJune,Exposed
801,LJune,Exposed
802,LJune,Exposed
803,LJune,Exposed
804,LJune,Exposed
805,LJune,Exposed
806,LJune,Exposed
807,LJune,Exposed
808,LJune,Exposed
809,LJune,Exposed
810,LJune,Exposed
811,LJune,Exposed
812,LJune,Exposed
813,LJune,Exposed
814a,LJune,Exposed
816,LJune,Exposed
817,LJune,Exposed
818,LJune,Exposed
819,LJune,Exposed
82,May,Caged
820,LJune,Exposed
821,LJune,Exposed
822,LJune,Exposed
823,LJune,Exposed
824,LJune,Exposed
825,LJune,Exposed
826,LJune,Exposed
827,LJune,Exposed
828,LJune,Exposed
829,LJune,Exposed
83,May,Caged
830,LJune,Exposed
831,LJune,Exposed
832,LJune,Exposed
834,LJune,Exposed
835,LJune,Exposed
836,LJune,Exposed
837,LJune,Exposed
839,LJune,Exposed
840,LJune,Exposed
841,LJune,Exposed
842,LJune,Exposed
843,LJune,Exposed
844,LJune,Exposed
845,LJune,Exposed
846,LJune,Exposed
847,LJune,Exposed
848,LJune,Exposed
849,LJune,Exposed
85,May,Bagged
851,LJune,Exposed
852,LJune,Exposed
853,LJune,Exposed
86,May,Exposed
87,June,Exposed
91C,June,Caged
91E,June,Exposed
94C,June,Caged
95,May,Exposed
96,May,Exposed
98a,May,Bagged
99,May,Exposed
